group_id,group_name,assoc_techniques
 G0018 , admin@338 ,"['T1087.001', 'T1059.003', 'T1203', 'T1083', 'T1036.005', 'T1069.001', 'T1566.001', 'T1082', 'T1016', 'T1049', 'T1007', 'T1204.002']"
 G1030 , Agrius ,"['T1583', 'T1560.001', 'T1119', 'T1110', 'T1110.003', 'T1059.003', 'T1543.003', 'T1005', 'T1074.001', 'T1140', 'T1041', 'T1190', 'T1562.001', 'T1570', 'T1036', 'T1046', 'T1003.001', 'T1046.002', 'T1021.001', 'T1018', 'T1505.003', 'T1078.002']"
 G0130 , Ajax Security Team ,"['T1555.003', 'T1105', 'T1056.001', 'T1566.001', 'T1105.003', 'T1204.002']"
 G1024 , Akira ,"['T1531', 'T1560.001', 'T1486', 'T1213.002', 'T1482', 'T1567.002', 'T1133', 'T1657', 'T1219', 'T1018', 'T1078']"
 G1000 , ALLANITE ,"['T0817', 'T0852', 'T0865', 'T0859']"
 G0138 , Andariel ,"['T1005', 'T1189', 'T1203', 'T1592.002', 'T1590.005', 'T1105', 'T1027.003', 'T1588.001', 'T1566.001', 'T1057', 'T1049', 'T1204.002']"
 G1007 , Aoqin Dragon ,"['T1587.001', 'T1203', 'T1083', 'T1570', 'T1036.005', 'T1027.002', 'T1588.002', 'T1091', 'T1204.002']"
 G1028 , APT-C-23 ,"['T1655.001', 'T1660', 'T1422']"
 G0099 , APT-C-36 ,"['T1059.005', 'T1105', 'T1036.004', 'T1571', 'T1027', 'T1588.002', 'T1566.001', 'T1053.005', 'T1204.002']"
 G0006 , APT1 ,"['T1087.001', 'T1583.001', 'T1560.001', 'T1119', 'T1059.003', 'T1584.001', 'T1005', 'T1114.001', 'T1005.002', 'T1585.002', 'T1036.005', 'T1135', 'T1588.001', 'T1135.002', 'T1003.001', 'T1566.001', 'T1135.002', 'T1057', 'T1021.001', 'T1016', 'T1049', 'T1007', 'T1550.002']"
 G0005 , APT12 ,"['T1568.003', 'T1203', 'T1566.001', 'T1204.002', 'T1102.002']"
 G0023 , APT16 ,['T1584.004']
 G0025 , APT17 ,"['T1583.006', 'T1585']"
 G0026 , APT18 ,"['T1071.001', 'T1585.004', 'T1547.001', 'T1059.003', 'T1133', 'T1083', 'T1070.004', 'T1105', 'T1027.013', 'T1053.002', 'T1082', 'T1078']"
 G0073 , APT19 ,"['T1071.001', 'T1547.001', 'T1059', 'T1059.001', 'T1543.003', 'T1132.001', 'T1140', 'T1189', 'T1564.003', 'T1574.002', 'T1112', 'T1027.010', 'T1112.013', 'T1588.002', 'T1566.001', 'T1218.010', 'T1112.011', 'T1082', 'T1016', 'T1033', 'T1204.002']"
 G0007 , APT28 ,"['T1134.001', 'T1098.002', 'T1583.001', 'T1033.003', 'T1033.006', 'T1595.002', 'T1557.004', 'T1071.001', 'T1033.003', 'T1560', 'T1560.001', 'T1119', 'T1547.001', 'T1037.001', 'T1110', 'T1110.001', 'T1110.003', 'T1059.001', 'T1110.003', 'T1092', 'T1586.002', 'T1584.008', 'T1213', 'T1213.002', 'T1005', 'T1039', 'T1025', 'T1001.001', 'T1074.001', 'T1025.002', 'T1030', 'T1140', 'T1189', 'T1114.002', 'T1573.001', 'T1546.015', 'T1048.002', 'T1567', 'T1190', 'T1203', 'T1211', 'T1068', 'T1210', 'T1133', 'T1083', 'T1589.001', 'T1564.001', 'T1083.003', 'T1070.001', 'T1083.004', 'T1083.006', 'T1105', 'T1056.001', 'T1559.002', 'T1036', 'T1036.005', 'T1498', 'T1040', 'T1027.013', 'T1588.002', 'T1137.002', 'T1003', 'T1003.001', 'T1003.003', 'T1120', 'T1566.001', 'T1598', 'T1598.003', 'T1542.003', 'T1057', 'T1090.002', 'T1057.003', 'T1021.002', 'T1091', 'T1014', 'T1113', 'T1505.003', 'T1528', 'T1218.011', 'T1221', 'T1199', 'T1550.001', 'T1199.002', 'T1204.001', 'T1199.002', 'T1078', 'T1078.004', 'T1102.002']"
 G0016 , APT29 ,"['T1548.002', 'T1087.002', 'T1078.004', 'T1098.001', 'T1078.002', 'T1078.003', 'T1078.005', 'T1583.001', 'T1078.006', 'T1595.002', 'T1071.001', 'T1560.001', 'T1547.001', 'T1037', 'T1037.004', 'T1110.001', 'T1037.003', 'T1651', 'T1059.001', 'T1651.003', 'T1651.005', 'T1651.006', 'T1651.009', 'T1586.002', 'T1651.003', 'T1584.001', 'T1136.003', 'T1555.003', 'T1213', 'T1213.003', 'T1005', 'T1001.002', 'T1074.002', 'T1140', 'T1587.001', 'T1140.003', 'T1484.002', 'T1482', 'T1568', 'T1114.002', 'T1573', 'T1585.001', 'T1546.003', 'T1573.008', 'T1048.002', 'T1190', 'T1203', 'T1068', 'T1133', 'T1083', 'T1606.001', 'T1083.002', 'T1589.001', 'T1665', 'T1562.001', 'T1665.002', 'T1665.004', 'T1665.008', 'T1070.004', 'T1665.006', 'T1665.008', 'T1105', 'T1036.004', 'T1105.005', 'T1556.007', 'T1621', 'T1027.001', 'T1621.002', 'T1621.003', 'T1621.006', 'T1588.002', 'T1003.002', 'T1621.004', 'T1621.006', 'T1069.002', 'T1566.001', 'T1621.002', 'T1621.003', 'T1057', 'T1090.001', 'T1057.002', 'T1057.003', 'T1057.004', 'T1021.001', 'T1057.002', 'T1057.006', 'T1057.007', 'T1018', 'T1053.005', 'T1505.003', 'T1528', 'T1649', 'T1558.003', 'T1539', 'T1553.002', 'T1539.005', 'T1195.002', 'T1218.005', 'T1539.011', 'T1082', 'T1016.001', 'T1199', 'T1552.004', 'T1550.001', 'T1199.003', 'T1199.004', 'T1204.001', 'T1199.002', 'T1078', 'T1078.002', 'T1078.003', 'T1078.004', 'T1102.002', 'T1047']"
 G0022 , APT3 ,"['T1087.001', 'T1098.007', 'T1560.001', 'T1547.001', 'T1110.002', 'T1059.001', 'T1047.003', 'T1136.001', 'T1543.003', 'T1555.003', 'T1005', 'T1074.001', 'T1546.008', 'T1041', 'T1203', 'T1083', 'T1564.003', 'T1574.002', 'T1070.004', 'T1105', 'T1056.001', 'T1036.010', 'T1104', 'T1095', 'T1027', 'T1027.002', 'T1027.005', 'T1003.001', 'T1069', 'T1566.002', 'T1057', 'T1090.002', 'T1021.001', 'T1057.002', 'T1018', 'T1053.005', 'T1218.011', 'T1082', 'T1016', 'T1049', 'T1033', 'T1552.001', 'T1204.001', 'T1078.002']"
 G0013 , APT30 ,"['T1566.001', 'T1204.002']"
 G0050 , APT32 ,"['T1087.001', 'T1583.001', 'T1033.006', 'T1071.001', 'T1033.003', 'T1560', 'T1547.001', 'T1059', 'T1059.001', 'T1059.003', 'T1059.005', 'T1059.007', 'T1543.003', 'T1189', 'T1585.001', 'T1048.003', 'T1041', 'T1203', 'T1068', 'T1083', 'T1222.002', 'T1589', 'T1589.002', 'T1564.001', 'T1589.003', 'T1589.004', 'T1574.002', 'T1070.001', 'T1589.004', 'T1589.006', 'T1105', 'T1056.001', 'T1570', 'T1036', 'T1036.003', 'T1036.004', 'T1036.005', 'T1112', 'T1046', 'T1135', 'T1571', 'T1027.001', 'T1571.010', 'T1571.011', 'T1571.013', 'T1588.002', 'T1137', 'T1003', 'T1003.001', 'T1566.001', 'T1003.002', 'T1598.003', 'T1055', 'T1012', 'T1021.002', 'T1018', 'T1053.005', 'T1505.003', 'T1072', 'T1608.001', 'T1072.004', 'T1218.005', 'T1072.010', 'T1072.011', 'T1082', 'T1016', 'T1049', 'T1033', 'T1216.001', 'T1569.002', 'T1552.002', 'T1550.002', 'T1033.003', 'T1204.001', 'T1033.002', 'T1078.003', 'T1102', 'T1047']"
 G0064 , APT33 ,"['T1071.001', 'T1560.001', 'T1547.001', 'T1110.003', 'T1059.001', 'T1047.005', 'T1555', 'T1555.003', 'T1132.001', 'T1573.001', 'T1546.003', 'T1048.003', 'T1203', 'T1068', 'T1105', 'T1040', 'T1571', 'T1027.013', 'T1588.002', 'T1003.001', 'T1571.004', 'T1571.005', 'T1566.001', 'T1571.002', 'T1053.005', 'T1552.001', 'T1571.006', 'T1204.001', 'T1571.002', 'T1078', 'T1078.004', 'T0852', 'T0853', 'T0865']"
 G0067 , APT37 ,"['T1548.002', 'T1071.001', 'T1123', 'T1547.001', 'T1059', 'T1059.003', 'T1059.005', 'T1059.006', 'T1555.003', 'T1005', 'T1561.002', 'T1189', 'T1203', 'T1105', 'T1559.002', 'T1036.001', 'T1106', 'T1027', 'T1027.003', 'T1120', 'T1566.001', 'T1057', 'T1055', 'T1053.005', 'T1082', 'T1033', 'T1529', 'T1204.002', 'T1102.002']"
 G0082 , APT38 ,"['T1071.001', 'T1217', 'T1110', 'T1115', 'T1059.001', 'T1115.003', 'T1115.005', 'T1543.003', 'T1485', 'T1486', 'T1005', 'T1565.001', 'T1005.002', 'T1005.003', 'T1561.002', 'T1189', 'T1083', 'T1562.003', 'T1083.004', 'T1070.001', 'T1083.004', 'T1083.006', 'T1105', 'T1056.001', 'T1112', 'T1106', 'T1135', 'T1027.002', 'T1588.002', 'T1566.001', 'T1057', 'T1053.003', 'T1057.005', 'T1505.003', 'T1518.001', 'T1218.001', 'T1057.011', 'T1082', 'T1049', 'T1033', 'T1569.002', 'T1529', 'T1204.002']"
